positive,negative,totalCount,weatherPositive,weatherNegative,weatherCount,aqi
31,39,157,-2,14,16,-5
-13,29,-38,0,-11,-18,3
7,-93,-52,1,-9,-7,4
15,261,469,0,7,15,1
-6,91,-13,2,7,3,13
12,-76,-12,1,-11,-6,4
36,13,27,-5,4,-7,38
79,584,1410,5,16,23,-33
-74,-452,-1022,-2,-22,-23,51
-144,-1002,-1854,-4,-19,-33,-45
-53,-212,-473,1,-10,-11,-59
-43,-290,-512,0,-7,-9,-13
60,291,523,3,23,35,-4
38,311,550,-3,7,8,-5
43,443,647,3,20,18,4
7,3,15,-1,3,8,0
10,77,152,0,-2,0,-4
-32,28,24,0,6,5,-1
27,82,162,2,-5,6,-1
16,25,-23,-2,11,1,0
-36,-147,-186,0,-8,-9,14
17,4,47,0,-9,-13,8
42,78,141,2,-1,1,-14
-14,7,49,0,7,12,11
22,198,292,1,14,24,15
15,15,62,-4,-8,-21,4
39,123,238,5,-2,-2,3
102,664,1561,-2,17,27,2
-44,-250,-634,-1,-1,-1,9
-145,-936,-1683,-2,-33,-54,9
-78,-479,-961,-1,-26,-26,-6
216,1144,2220,8,49,66,-50
-68,-346,-755,-5,-12,-20,-2
-71,-361,-684,2,-19,-25,-1
-137,-648,-1187,-5,-24,-32,-5
-34,-316,-539,-1,-7,-9,8
82,128,270,0,5,8,12
20,316,509,0,16,18,-4
51,381,682,3,13,21,0
38,208,470,0,0,3,-4
36,215,271,1,17,31,0
-52,-88,-197,2,-2,-14,0
28,2,61,0,-1,-1,0
-45,3,-88,-4,18,21,4
18,61,110,2,-24,-32,-4
-22,-167,-281,2,-3,0,7
17,20,98,-5,-6,-15,10
-2,-30,-52,6,-1,4,0
14,18,106,-1,12,12,0
46,19,61,-2,-2,2,0
-27,-6,-88,3,0,3,3
-43,-3,38,-5,-16,-25,4
43,-102,-176,-1,13,11,2
-79,-121,-284,4,-8,-2,2
-105,-819,-1427,-5,-28,-40,4
-11,-29,-77,0,0,-3,-4
22,64,130,0,7,8,0
50,199,374,2,2,6,0
14,386,579,-2,14,19,1
41,288,515,1,8,10,2
41,294,453,4,16,20,4
-24,-30,-83,-3,-7,-9,0
42,9,57,3,8,9,1
-98,-665,-1061,-3,-40,-48,-6
-23,-246,-413,-1,-2,-8,2
-50,-181,-353,-1,-8,-9,0
-19,-111,-205,0,-3,-3,-6
77,529,1004,1,16,21,-36
-50,-437,-803,-1,-14,-18,6
-21,-112,-198,0,-1,-1,4
20,31,55,0,1,1,4
121,818,1509,3,25,30,97
-130,-739,-1395,-3,-25,-28,-98
-16,-118,-194,0,-2,-1,2
17,34,48,1,7,5,-6
