time,positive,negative,totalCount,weatherPositive,weatherNegative,weatherCount,aqi
20,165,1238,2129,4,45,63,76
21,196,1277,2286,2,59,79,71
22,183,1306,2248,2,48,61,74
23,190,1213,2196,3,39,54,78
0,205,1474,2665,3,46,69,79
1,199,1565,2652,5,53,72,92
2,211,1489,2640,6,42,66,96
1,199,1565,2652,5,53,72,92
2,211,1489,2640,6,42,66,96
1,199,1565,2652,5,53,72,92
2,211,1489,2640,6,42,66,96
1,199,1565,2652,5,53,72,92
2,211,1489,2640,6,42,66,96
1,199,1565,2652,5,53,72,92
2,211,1489,2640,6,42,66,96
3,247,1502,2667,1,46,59,134
4,326,2086,4077,6,62,82,101
5,252,1634,3055,4,40,59,152
7,108,632,1201,0,21,26,107
8,55,420,728,1,11,15,48
11,12,130,216,1,4,6,35
13,72,421,739,4,27,41,31
14,110,732,1289,1,34,49,26
15,153,1175,1936,4,54,67,30
16,160,1178,1951,3,57,75,30
17,170,1255,2103,3,55,75,26
18,138,1283,2127,3,61,80,25
19,165,1365,2289,5,56,86,24
20,181,1390,2266,3,67,87,24
21,145,1243,2080,3,59,78,38
22,162,1247,2127,3,50,65,46
23,204,1325,2268,5,49,66,32
0,190,1332,2317,5,56,78,43
1,212,1530,2609,6,70,102,58
2,227,1545,2671,2,62,81,62
3,266,1668,2909,7,60,79,65
4,368,2332,4470,5,77,106,67
5,324,2082,3836,4,76,105,76
6,179,1146,2153,2,43,51,85
6,179,1146,2153,2,43,51,85
6,179,1146,2153,2,43,51,85
7,101,667,1192,1,17,25,79
4,317,1811,3412,9,66,91,29
5,249,1465,2657,4,54,71,27
6,178,1104,1973,6,35,46,26
8,41,456,786,1,11,14,21
10,7,140,247,0,4,5,29
13,89,268,517,0,9,13,41
14,109,584,1026,0,25,31,37
15,160,965,1708,3,38,52,37
16,198,1173,2178,3,38,55,33
17,234,1388,2449,4,55,86,33
18,182,1300,2252,6,53,72,33
19,210,1302,2313,6,52,71,33
20,165,1305,2225,2,70,92,37
21,183,1366,2335,4,46,60,33
22,161,1199,2054,6,43,60,40
23,178,1219,2152,1,37,45,50
0,176,1189,2100,7,36,49,50
1,190,1207,2206,6,48,61,50
2,236,1226,2267,4,46,63,50
3,209,1220,2179,7,46,66,53
4,166,1217,2217,2,30,41,57
5,209,1115,2041,1,43,52,59
6,130,994,1757,5,35,50,61
10,25,175,330,0,7,10,65
11,14,146,253,0,7,7,61
13,36,210,383,0,14,15,61
14,86,409,757,2,16,21,61
15,100,795,1336,0,30,40,62
16,141,1083,1851,1,38,50,64
17,182,1377,2304,5,54,70,68
18,158,1347,2221,2,47,61,68
19,200,1356,2278,5,55,70,69
7,102,691,1217,2,15,22,63
8,79,445,804,1,13,14,65
9,29,264,451,0,5,5,65
12,10,153,246,0,2,2,59
7,87,682,1250,1,18,23,23
9,37,245,447,0,4,5,29
11,16,133,249,0,3,4,33
12,36,164,304,0,4,5,37
6,157,982,1813,3,29,35,134
9,27,243,418,0,4,7,36
10,11,125,224,0,2,6,38
12,28,159,272,1,9,11,32
3,247,1502,2667,1,46,59,134
4,326,2086,4077,6,62,82,101
4,326,2086,4077,6,62,82,101
4,326,2086,4077,6,62,82,101
5,252,1634,3055,4,40,59,152
7,108,632,1201,0,21,26,107
3,247,1502,2667,1,46,59,134
4,326,2086,4077,6,62,82,101
5,252,1634,3055,4,40,59,152
7,108,632,1201,0,21,26,107
3,247,1502,2667,1,46,59,134
4,326,2086,4077,6,62,82,101
5,252,1634,3055,4,40,59,152
7,108,632,1201,0,21,26,107
3,247,1502,2667,1,46,59,134
4,326,2086,4077,6,62,82,101
5,252,1634,3055,4,40,59,152
7,108,632,1201,0,21,26,107
6,157,982,1813,3,29,35,134
6,157,982,1813,3,29,35,134
6,157,982,1813,3,29,35,134
6,157,982,1813,3,29,35,134
