time,positive,negative,totalCount,weatherPositive,weatherNegative,weatherCount,aqi
12,171,1020,1746,0,23,28,37
11,171,1001,1691,6,32,44,33
10,184,1036,1784,5,40,52,33
9,233,1039,1875,4,33,48,33
8,204,1045,1801,5,40,58,33
7,163,1029,1784,2,25,34,37
6,205,930,1623,1,35,44,33
5,126,810,1345,4,27,39,40
4,102,516,882,2,13,20,50
3,77,332,583,1,9,10,50
2,27,200,332,0,5,5,50
1,24,133,243,0,5,8,50
0,14,121,197,0,6,6,53
2,34,170,286,0,11,12,59
3,86,348,613,2,15,19,61
4,97,661,1070,0,26,33,63
4,96.01332887348647,660.6331722263176,1076.3895596381165,1.7498665618680134,26.09567705980932,31.97384456823412,61.66689324765306
5,139,931,1523,0,30,41,65
5,135.53459156880245,930.8655739820804,1528.7264254364104,-1.9840989918182128,28.388382642350926,41.149092889131424,65.12110079069143
6,177,1191,1887,4,51,63,65
6,174.6352844613938,1190.2652908164948,1884.6579932996542,3.8741535384622825,49.35534977753789,61.87536760223403,64.357703730798
7,153,1155,1816,2,43,56,65
7,148.17202063292393,1158.4320377707897,1812.1706397337534,0.3386005514321022,41.08844745442339,54.51545122181791,64.36605908178336
8,197,1164,1895,5,43,55,61
9,162,1062,1745,3,36,50,59
10,192,1086,1838,2,54,72,61
11,178,1104,1804,1,35,44,61
12,186,1032,1793,3,35,48,62
11,197,1270,2180,3,39,60,64
11,194.61212911336287,1265.3083849721365,2175.5194721466128,1.4823986454766178,40.435013016856175,61.70287104003258,62.32921618721822
10,195,1309,2173,5,43,61,68
10,190.53750546786782,1309.158424314621,2178.2982992018074,6.747769431189003,41.13216795551827,61.502060557832145,66.84277600591228
9,210,1255,2127,6,36,58,68
9,213.45155743049753,1258.7007378585104,2125.052637175766,4.9501959965517965,35.14622022815166,57.97083393950758,69.50788011319544
8,245,1257,2158,1,33,44,69
8,249.0758226478165,1254.8501455530934,2157.366960171941,-0.5485771504508539,34.50595751205108,44.185335179568575,67.24226772869922
7,324,1759,3323,6,55,73,76
7,327.2431167677767,1763.5073847295232,3313.568370057038,7.7950864644364,56.8164474042361,72.82002921295944,77.39518507279418
6,247,1367,2399,4,37,55,71
6,251.44655854408933,1369.1579587518195,2396.7733735890347,2.0222853227022224,37.09830249550614,53.23844821438883,70.40436309585111
5,156,767,1369,3,26,31,74
5,160.90462758771622,769.6356648758738,1369.3304106664614,4.990984309591752,24.025434124466848,30.21831702263468,75.59521210685523
4,107,477,880,0,19,23,78
4,105.52598472944749,473.6685761930475,876.5122188066379,-0.4340428922363584,19.58786254243655,24.00624423905904,76.31103824245321
3,54,306,523,1,6,10,79
3,50.557242953382044,305.8102918834175,519.3682364685961,0.8353306247863075,6.733460613502576,8.045570812094873,77.93269223162824
2,27,180,297,0,2,4,92
2,24.59991727731689,182.91509180412865,298.13127128312567,1.864689698534316,0.7080611807031851,3.3052818689068513,91.85569267244513
2,25.27729882552117,179.1311580677265,294.148700268561,-0.09186520197609394,2.664902308475634,4.8673861110706955,95.09911207090254
2,25.69280508402351,184.3655248058357,306.92972885366584,1.4997163335606545,1.7339097870790403,3.8469563598823786,89.85114197557058
2,28.767270615814574,182.49099228832398,290.1362945693597,-0.9553529108667109,3.3957446399695215,4.13973377134343,95.69224737475905
2,23.75041169057306,181.18189278918535,297.94190789596644,-1.0506415891772312,1.7875505428602216,2.9242173978100743,92.52106293358058
2,31.240696844000276,181.65065410945905,303.43251591109527,0.842544307852271,1.292123001174573,4.768134704476492,91.19075976259688
2,30.437447548332074,179.7581368834673,294.0994168593871,-1.8067730785014628,2.2606826897675107,2.9673815657786076,90.53309632363022
1,9,83,149,0,2,5,96
1,8.677232728042956,82.14830577043475,145.8558915596822,0.4191041446823647,2.0435218699056774,5.811645101101096,98.70572128867991
1,7.88710575292734,83.01835860197936,139.703291378132,0.8974065344585487,3.9335456083961446,5.79708722653505,92.0116567368989
1,10.068208586275752,85.33971103859604,147.80662184366244,0.7403042696674653,2.7516941608493592,4.552866059677092,93.39141065403523
1,10.200187566520865,84.30627377266583,154.9828901354096,1.2217158473194392,2.2978802811812384,3.855213227427548,94.53773622422905
1,9.178071409906595,78.7089908556874,140.54170622563902,-1.8839842189944798,2.034785682145132,6.466728853537042,94.15010311551008
1,4.784628014844552,86.88550503114064,153.27773048700325,1.0256207092939036,2.6691869990345554,4.287738243567199,96.7425965830316
1,9.374536556334911,87.72458145011421,156.24372199042043,-0.9151312300977827,1.9832428436403724,3.566868559133571,98.63267137755342
0,11,69,131,1,2,4,134
0,10.792783452468404,70.90489028583363,135.64631660285255,1.039315185846049,0.8430492214102432,3.3347093819094127,133.5446439914714
0,15.255539933573097,70.60989789236172,127.36230971074886,2.0278624792104534,3.5949906956516724,2.3803869635182178,136.29969862206505
0,7.588553205451506,65.81383364200727,131.06451189166143,2.6335126041231955,3.690196024555773,3.8368748471944594,131.9528427343057
0,12.993324352685551,64.71209777254812,133.69273423232556,-0.9822236633180816,1.9947493884731817,2.0286246627232902,137.26854125748434
0,9.087829376991909,68.13395772035904,130.59456405562426,2.325778885703026,2.0117530907488046,5.518768854335708,130.1124926140978
0,12.738087355529164,70.03884551386084,126.76887648814662,1.635818323612387,0.7163742284320271,4.6396290223822,133.84294166789633
0,15.286141369246437,64.04286094844711,126.94163948692375,2.2004400884325888,0.4436752566569342,5.714278682941881,137.53289507520552
1,28,130,212,1,9,11,101
1,26.13221243527434,131.9393862011774,206.31447544115994,2.2091311847745594,9.945404094565681,11.091208578388018,99.82373188273856
1,23.7327138829464,131.08525242238926,210.81208548320103,2.0283630028190913,10.899074109835277,9.960627854988218,101.71918446224875
1,32.38159273055362,126.87356875816309,202.32963497667058,0.021667953984534805,7.166748102236875,12.823230200529416,102.62717738067794
1,24.140247072554445,131.5215421431749,214.7787602304416,1.0249019498581284,7.0979645527444575,9.935428882705292,103.115196582324
1,30.65707045565412,125.375454215676,214.19036029377804,1.8429567847563577,8.362286028724746,9.54303076250474,100.46190338370343
1,32.838076599163536,134.22322953475177,208.463065278467,1.78917777814199,9.722246152380464,12.021654742733793,97.60851488448866
1,32.4444488240639,126.40534176977553,211.89542175766462,2.358304022220488,10.915255490463485,12.894906613298414,98.78144390335831
2,71,366,616,3,26,39,152
2,68.08024437139962,366.84106472209896,618.4679312882545,4.873265992713456,26.653431152983426,40.767208546098175,150.98559098573904
2,70.25753917360393,363.6177037405053,609.9829889636184,1.9614395423374664,27.80031461923919,38.827494841867754,155.25755934288338
2,71.10041755348537,364.2625818264864,612.5353683261114,4.420974705173462,27.043126071832127,38.006879269714915,154.6618683640934
2,67.65064061935672,362.0686537929852,625.0224879488554,2.515401806296854,25.505245891556218,37.162900415715505,154.8048984923066
2,74.6473084843466,367.5406186833297,619.9384143696524,4.115348155754198,26.51047782595884,37.720033591210054,152.63199405772235
2,73.33391223316514,362.55493771937194,611.0157936073513,4.165987982417144,27.4150767031552,37.87753893310647,152.80065064911383
2,72.0157786556919,369.75798370350196,608.4198753210552,4.94198865936259,26.873115129551728,37.03004843581685,148.64626556296318
8,262,1400,2372,5,47,63,24
7,360,2037,3732,5,63,90,24
6,315,1795,3199,3,55,77,38
5,175,937,1684,2,39,47,46
4,99,522,916,1,15,22,32
3,44,296,470,1,8,14,43
2,16,186,277,0,7,9,58
1,14,107,175,0,3,4,62
0,25,125,223,0,1,2,65
0,21.3701030891283,120.22057820998812,230.2544848841943,-0.3917259835023388,2.0020729206431103,2.413274557588,66.2644237480498
1,22,161,255,1,4,7,67
1,26.382428154160042,159.28340313349858,262.516214851643,2.6094152198156326,4.2524600350498005,6.271400582332898,65.8771270640814
2,56,329,532,1,18,22,76
2,52.720772482534684,331.9844479979227,525.6021837518755,-0.6980614010932453,16.953290429711377,21.95243897982912,76.92912798363419
3,133,756,1279,5,42,57,85
3,134.7261892581922,757.001901754166,1277.4988071435894,4.40311222752549,42.34204851440744,55.855157720064554,82.07289090770584
3,131.96478475596658,752.5232378204178,1282.9163428411437,5.38431465027903,42.11628167389064,56.453123768597166,84.93065240350248
3,133.5240279457302,755.1442592404751,1273.2586198090771,4.259341698558176,40.71760804359143,57.78850462299002,86.31698918999214
3,129.82569293731032,754.3742857656423,1269.1929173679441,4.257645124601893,41.575823586388594,56.23065812289406,82.76301436169862
3,133.6128223210079,759.9142539351672,1287.2736792495073,3.338333839473684,42.36647876092866,57.121560164814575,82.53304546488951
3,137.55548105367924,758.6800397212252,1287.4985279037255,4.282847681843471,40.95030407147895,55.3038134967058,86.59809416687236
3,131.54809804379835,759.1819649774271,1271.5385044505329,3.7018051677007895,41.625457242449194,58.21523463240418,87.73500032902875
1,36,142,243,0,4,5,29
2,87,231,437,0,8,12,27
3,109,493,835,0,24,28,26
4,159,842,1412,2,34,46,23
5,198,969,1751,3,32,45,21
6,229,1199,2056,3,49,71,29
7,177,1114,1850,6,46,60,29
8,207,1152,1960,5,47,65,33
9,163,1101,1819,1,58,77,37
10,179,1186,1919,4,38,51,41
11,156,1032,1698,4,37,49,37
3,109,645,1072,1,30,43,134
3,111.41169953370355,643.2528291041757,1072.0237070278858,0.3875946470994802,29.71333828025531,43.35393344378234,135.89330281727084
3,112.00958394689017,644.8830816047898,1063.3955614677643,0.14202960323414837,31.381683834973714,41.39491723660906,134.76127929364958
3,107.95864425512052,641.1611182558728,1075.51095570167,1.820602264690689,28.539439111543285,44.16326606662763,135.2130938475189
3,112.43724632648454,645.588369381996,1071.172731509132,2.991563066954267,29.089695954058794,43.06151016987883,135.5386726412855
3,106.09008714374217,643.6862816835076,1066.4333431257267,1.3231021045695321,31.814792972968192,43.434195204727956,135.055458396466
3,105.35811951046271,640.9782917161117,1071.1673389042837,-0.9756469881819636,31.70563657693063,42.3964047861103,134.80827412836177
3,104.22401923917874,645.1256845593863,1068.8616117216777,0.6464416953716401,28.95555041491812,42.01021789389394,134.74399760997892
4,151,1015,1614,4,44,56,107
4,149.60610240737822,1017.0131775927186,1620.7834743386713,3.438009380920211,42.29074609201313,54.080580063532686,106.87458922082524
4,147.61556613294619,1010.9707504186589,1609.8859102789836,2.06303607326835,43.384186023294,54.226323429195986,109.77366289305489
4,148.75998261050245,1018.6109215018795,1618.6697086110055,5.418624314418191,42.48207996687158,54.54775112388626,109.58885396581759
4,152.07309066932166,1010.0087544103808,1619.3657145911693,4.175381614627159,43.214570219803214,56.352279621498376,107.10594929916792
4,146.13901625802367,1010.1573476076711,1606.850848080289,5.906364491124945,43.39779803688216,56.742558675841536,105.95439537143832
4,148.2886116158477,1017.0190643553206,1619.9689428368943,3.2409415268319055,44.11108447451319,54.23614914985528,108.43841611151262
4,150.2039875675517,1012.5482618029039,1613.6196849226362,2.812277679025664,43.40375699900047,54.62983307230034,107.70332091765721
5,155,1048,1641,3,49,67,48
6,166,1068,1740,2,46,61,36
7,136,1099,1744,1,52,67,38
8,161,1184,1900,4,49,74,35
9,178,1197,1857,3,54,74,32
10,142,1071,1708,3,52,68,31
11,158,1045,1710,2,42,52,26
12,199,1147,1878,3,44,58,30
11,185,1190,1953,5,52,72,30
10,208,1288,2138,5,56,80,26
9,223,1324,2173,2,52,67,25
1,9,103,167,0,2,2,57
6,206,1223,2076,10,78,120,52
7,210,1270,2109,4,75,105,48
8,222,1323,2177,3,63,83,42
9,199,1289,2083,5,69,86,39
10,175,1028,1769,5,48,68,31
11,158,1042,1719,2,42,58,27
12,180,1082,1801,7,43,63,23
7,205,1189,1943,5,61,85,21
8,216,1097,1849,2,57,75,20
9,197,1116,1825,8,63,85,20
10,211,1094,1862,7,60,88,20
11,140,1047,1641,6,52,72,23
12,182,1036,1749,4,66,83,25
11,185,1231,2039,5,66,94,24
4,113,560,1047,6,10,19,34
3,52,330,552,1,11,17,34
2,18,162,265,0,5,7,31
1,29,106,195,1,3,5,31
0,17,102,169,2,0,4,36
1,23,152,247,0,11,13,41
2,76,305,548,6,20,28,49
7,359,1830,3302,8,66,100,19
6,225,1248,2190,8,38,60,16
5,174,935,1622,3,29,42,14
4,93,542,925,3,19,26,13
3,53,216,421,0,11,13,15
2,21,193,328,1,6,9,15
4,182,1141,1862,4,53,68,79
4,177.59497021257505,1137.1869876768217,1871.9170382401085,4.153336715088852,53.576554891171874,67.12353640092509,79.93459045825925
5,194,1234,2004,8,60,81,72
5,193.41201403372497,1229.409693798149,2003.059745482435,7.932010361459097,58.52142859606231,81.21013266545484,70.03638047115925
6,182,1248,1965,7,69,93,57
7,193,1150,1876,5,54,74,49
8,208,1109,1882,2,62,81,48
9,187,1182,1883,5,56,75,39
10,203,1244,2094,3,65,86,37
11,169,1072,1773,5,43,63,51
12,199,1144,1917,3,55,79,66
12,199.1702782440037,1143.9635166634607,1921.2526529111692,1.3438259213853674,56.18563478213161,77.47451708427847,66.97991956255298
11,191,1183,1980,6,46,66,53
10,182,1143,1875,7,57,73,52
9,219,1321,2203,7,62,79,55
8,222,1353,2300,6,70,98,65
8,217.7565198344826,1354.2205703135032,2305.4023928953816,7.945578899519896,70.54575275158832,96.88771899304277,64.90655860712074
7,286,1841,3252,5,64,91,69
7,289.8004946414436,1844.7731375101373,3248.1537897952717,3.820442808199293,65.04969281672379,92.11633101898704,70.58268580348376
6,278,1504,2581,7,47,69,76
6,282.27448548051336,1507.170436035022,2573.0633195810055,8.906637192500883,48.044334762465446,67.99502767542116,74.03655288204158
5,186,1025,1726,4,29,45,74
5,190.40262731162392,1021.2242204392016,1734.8836459786487,3.4117836271121185,27.04891055010147,44.384630662265046,74.50867962137667
4,78,567,972,1,23,32,65
4,74.69985738098221,565.467995453488,962.4239961914105,2.169984563514867,21.642808724942036,33.32519810481299,64.49231863673295
3,45,324,532,0,12,16,62
2,22,158,246,0,8,8,68
2,22.06694136962707,153.91087545338465,238.1272248378428,-0.4677921721915794,8.007323474817573,9.585781275761875,69.13126616835571
1,13,113,182,0,9,9,54
0,15,102,159,0,6,6,52
1,22,137,229,0,12,16,50
2,53,370,602,0,30,31,58
3,152,808,1335,4,48,56,59
4,174,1162,1849,3,76,90,55
5,192,1283,2062,7,64,97,48
11,195,1283,2097,5,67,87,23
10,213,1327,2167,4,55,72,22
9,263,1431,2369,4,57,76,20
8,249,1379,2313,5,49,65,21
1,15,85,134,0,4,5,19
0,26,113,188,2,4,6,26
1,30,171,258,3,7,10,28
2,72,297,530,3,21,31,29
3,116,655,1103,6,30,44,28
4,182,911,1579,4,38,52,28
5,209,1071,1778,9,53,71,26
6,177,1175,1911,3,59,70,23
10,232,1187,2055,10,63,92,24
9,228,1333,2203,9,64,90,24
8,260,1306,2244,6,66,88,29
7,370,1799,3262,9,64,97,31
6,358,1805,3348,6,67,84,32
5,170,1009,1702,4,33,48,32
3,78,460,809,2,17,31,40
