time,positive,negative,neutral,weatherPositive,weatherNegative,weatherNeutral,AQI
2019-06-22 23,171,1020,555,0,23,5,37
2019-06-23 00,171,1001,519,6,32,6,33
2019-06-23 01,184,1036,564,5,40,7,33
2019-06-23 02,233,1039,603,4,33,11,33
2019-06-23 03,204,1045,552,5,40,13,33
2019-06-23 04,163,1029,592,2,25,7,37
2019-06-23 05,205,930,488,1,35,8,33
2019-06-23 06,126,810,409,4,27,8,40
2019-06-23 07,102,516,264,2,13,5,50
2019-06-23 08,77,332,174,1,9,0,50
2019-06-23 09,27,200,105,0,5,0,50
2019-06-23 10,24,133,86,0,5,3,50
2019-06-23 11,14,121,62,0,6,0,53
2019-06-23 13,34,170,82,0,11,1,59
2019-06-23 14,86,348,179,2,15,2,61
2019-06-23 15,97,661,312,0,26,7,63
2019-06-23 16,139,931,453,0,30,11,65
2019-06-23 17,177,1191,519,4,51,8,65
2019-06-23 18,153,1155,508,2,43,11,65
2019-06-23 19,197,1164,534,5,43,7,61
2019-06-23 20,162,1062,521,3,36,11,59
2019-06-23 21,192,1086,560,2,54,16,61
2019-06-23 22,178,1104,522,1,35,8,61
2019-06-23 23,186,1032,575,3,35,10,62
2019-06-24 00,197,1270,713,3,39,18,64
2019-06-24 01,195,1309,669,5,43,13,68
2019-06-24 02,210,1255,662,6,36,16,68
2019-06-24 03,245,1257,656,1,33,10,69
2019-06-24 04,324,1759,1240,6,55,12,76
2019-06-24 05,247,1367,785,4,37,14,71
2019-06-24 06,156,767,446,3,26,2,74
2019-06-24 07,107,477,296,0,19,4,78
2019-06-24 08,54,306,163,1,6,3,79
2019-06-24 09,27,180,90,0,2,2,92
2019-06-24 10,9,83,57,0,2,3,96
2019-06-24 11,11,69,51,1,2,1,134
2019-06-24 12,28,130,54,1,9,1,101
2019-06-24 13,71,366,179,3,26,10,152
2019-06-25 03,262,1400,710,5,47,11,24
2019-06-25 04,360,2037,1335,5,63,22,24
2019-06-25 05,315,1795,1089,3,55,19,38
2019-06-25 06,175,937,572,2,39,6,46
2019-06-25 07,99,522,295,1,15,6,32
2019-06-25 08,44,296,130,1,8,5,43
