time,positive,negative,totalCount,weatherPositive,weatherNegative,weatherCount,aqi
2019-05-29 20,2,35,61,0,6,9,31
2019-05-29 21,1,46,80,0,2,3,22
2019-05-29 22,0,48,71,0,2,6,15
2019-05-29 23,4,28,48,0,4,4,17
2019-05-30 00,6,60,98,0,12,13,27
2019-05-30 01,4,53,95,0,3,4,23
2019-05-30 02,4,55,89,0,4,5,35
2019-05-30 03,3,49,79,1,5,6,55
2019-05-30 04,6,41,70,2,4,6,59
2019-05-30 05,2,49,78,1,12,16,53
2019-05-30 06,1,56,95,1,13,14,24
2019-05-30 07,0,49,67,0,12,13,48
2019-05-30 08,7,131,161,1,12,16,53
2019-05-30 09,2,34,58,0,4,5,54
2019-05-30 10,1,32,58,0,2,3,48
2019-05-30 12,1,17,23,0,2,2,75
2019-05-30 14,0,12,26,0,0,1,61
2019-05-30 17,1,21,36,0,6,6,61
2019-05-30 20,1,48,86,0,7,8,59
2019-05-30 21,3,51,82,0,2,5,54
2019-05-30 22,6,36,69,0,3,4,49
2019-05-30 23,3,42,70,0,2,2,44
2019-05-31 00,4,56,76,0,10,11,13
2019-05-31 01,3,52,86,0,3,4,12
2019-05-31 03,5,42,73,0,5,7,36
2019-05-31 04,7,44,77,2,4,6,54
2019-05-31 05,6,50,76,3,6,12,63
2019-05-31 06,33,175,350,2,11,21,58
2019-05-31 10,2,49,77,0,2,2,42
2019-05-31 11,0,41,60,0,4,5,27
2019-05-31 12,0,13,35,0,3,3,23
2019-05-29 13,1,1,3,0,0,0,59
2019-05-29 17,0,19,31,0,3,5,47
2019-05-29 18,2,13,24,1,3,6,41
2019-05-30 18,0,15,26,0,2,2,56
2019-05-31 02,1,38,64,0,4,5,16
2019-05-31 09,7,102,158,0,6,7,55
2019-05-28 20,0,1,2,0,0,0,30
2019-05-29 16,0,12,18,0,1,1,45
2019-05-29 19,2,21,33,1,3,5,30
2019-05-30 11,2,26,44,0,2,3,62
2019-05-30 13,1,7,19,0,1,2,73
2019-05-30 19,1,24,37,0,5,5,58
2019-05-31 13,0,6,17,0,0,0,41
2019-05-30 15,1,3,5,1,0,1,52
2019-05-30 16,0,7,13,0,1,1,58
2019-05-29 15,0,4,4,0,0,0,40
2019-05-29 14,0,1,1,0,0,0,48
2019-05-29 20,2,35,61,0,6,9,31
2019-05-29 21,1,46,80,0,2,3,22
2019-05-29 22,0,48,71,0,2,6,15
2019-05-29 23,4,28,48,0,4,4,17
2019-05-30 00,6,60,98,0,12,13,27
2019-05-30 01,4,53,95,0,3,4,23
2019-05-30 02,4,55,89,0,4,5,35
2019-05-30 03,3,49,79,1,5,6,55
2019-05-30 04,6,41,70,2,4,6,59
2019-05-30 05,2,49,78,1,12,16,53
2019-05-30 06,1,56,95,1,13,14,24
2019-05-30 07,0,49,67,0,12,13,48
2019-05-30 08,7,131,161,1,12,16,53
2019-05-30 09,2,34,58,0,4,5,54
2019-05-30 10,1,32,58,0,2,3,48
2019-05-30 12,1,17,23,0,2,2,75
2019-05-30 14,0,12,26,0,0,1,61
2019-05-30 17,1,21,36,0,6,6,61
2019-05-30 20,1,48,86,0,7,8,59
2019-05-30 21,3,51,82,0,2,5,54
2019-05-30 22,6,36,69,0,3,4,49
2019-05-30 23,3,42,70,0,2,2,44
2019-05-31 00,4,56,76,0,10,11,13
2019-05-31 01,3,52,86,0,3,4,12
2019-05-31 03,5,42,73,0,5,7,36
2019-05-31 04,7,44,77,2,4,6,54
2019-05-31 05,6,50,76,3,6,12,63
2019-05-31 06,33,175,350,2,11,21,58
2019-05-31 07,328,2235,4119,2,24,33,70
2019-05-31 08,303,2083,3941,2,23,34,54
2019-05-31 10,2,49,77,0,2,2,42
2019-05-31 11,0,41,60,0,4,5,27
2019-05-31 12,0,13,35,0,3,3,23
2019-05-29 13,1,1,3,0,0,0,59
2019-05-29 17,0,19,31,0,3,5,47
2019-05-29 18,2,13,24,1,3,6,41
2019-05-30 18,0,15,26,0,2,2,56
2019-05-31 02,1,38,64,0,4,5,16
2019-05-31 09,7,102,158,0,6,7,55
2019-05-28 20,0,1,2,0,0,0,30
2019-05-29 16,0,12,18,0,1,1,45
2019-05-29 19,2,21,33,1,3,5,30
2019-05-30 11,2,26,44,0,2,3,62
2019-05-30 13,1,7,19,0,1,2,73
2019-05-30 19,1,24,37,0,5,5,58
2019-05-31 13,0,6,17,0,0,0,41
2019-05-30 15,1,3,5,1,0,1,52
2019-05-30 16,0,7,13,0,1,1,58
2019-05-29 15,0,4,4,0,0,0,40
2019-05-29 14,0,1,1,0,0,0,48
